City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,cartagena del chaira,1.3349,-74.8429,24.52,93,88,1.09,CO,1684761450
318,tuy hoa,13.0833,109.3,27.23,85,79,1.81,VN,1684761451
319,arraial do cabo,-22.9661,-42.0278,24.92,65,75,4.12,BR,1684761451
320,cabo san lucas,22.8909,-109.9124,28.17,22,0,4.63,MX,1684761451
321,fisterra,42.9049,-9.2629,24.3,71,66,10.95,ES,1684761451
322,roma,43.2128,-75.4557,18.16,78,6,0.45,US,1684761451
323,qui nhon,13.7667,109.2333,24.97,87,100,5.2,VN,1684761451
324,miri,4.4148,114.0089,25.08,94,20,1.03,MY,1684761451
325,road town,18.4167,-64.6167,29.02,70,40,4.63,VG,1684761228
326,kerikeri,-35.2268,173.9474,12.17,95,99,2.38,NZ,1684761451
327,acarau,-2.8856,-40.12,28.75,72,100,5.56,BR,1684761449
328,santo tomas,14.1079,121.1414,29.14,87,100,1.19,PH,1684761452
329,nar'yan-mar,67.6713,53.087,21.19,37,74,4.86,RU,1684761452
330,lata,40.1629,-8.3327,26.38,40,99,1.97,PT,1684761452
331,charters towers,-20.1,146.2667,12.61,55,8,3.17,AU,1684761452
332,polyarnyy,69.1989,33.4478,12.37,63,100,6.13,RU,1684761452
333,santa luzia,-19.7697,-43.8514,22.6,60,40,3.09,BR,1684761452
334,chui,-33.6971,-53.4616,18.8,85,15,2.21,UY,1684761452
335,paea,-17.6833,-149.5833,25.84,89,20,1.54,PF,1684761452
336,antsiranana,-12.2787,49.2917,27.89,63,87,3.41,MG,1684761452
337,tolanaro,-25.0319,46.9987,24.47,57,0,5.75,MG,1684761452
338,carutapera,-1.195,-46.02,28.07,84,100,3.29,BR,1684761453
339,ulsteinvik,62.3432,5.8487,14.5,80,99,3.13,NO,1684761453
340,nouadhibou,20.931,-17.0347,24.99,53,100,6.69,MR,1684761453
341,jwaneng,-24.6004,24.7303,24.37,12,5,2.92,BW,1684761453
342,thurso,58.5927,-3.5259,13.14,74,99,7.3,GB,1684761448
343,turkeli,41.9476,34.3386,16.08,90,50,2.06,TR,1684761453
344,grantsville,40.5999,-112.4644,19.84,38,0,3.13,US,1684761453
345,mitchell,43.7094,-98.0298,17.63,64,75,4.12,US,1684761378
346,rongelap,11.1635,166.8941,27.67,83,100,6.18,MH,1684761453
347,narvik,68.4384,17.4272,16.88,55,6,1.65,NO,1684761453
348,napili-honokowai,20.9708,-156.6705,23.99,90,83,6.18,US,1684761454
349,andergrove,-21.0833,149.1833,18.99,70,100,6.54,AU,1684761454
350,igarka,67.4667,86.5833,2.69,99,100,3.64,RU,1684761454
351,phitsanulok,16.9167,100.5,31.37,58,42,2.98,TH,1684761454
352,balqash,46.8481,74.995,22.33,26,0,5.0,KZ,1684761454
353,kothi,24.75,80.7833,41.08,11,8,3.66,IN,1684761454
354,matoury,4.8483,-52.3317,26.98,89,75,2.06,GF,1684761454
355,coquimbo,-29.9533,-71.3436,13.85,71,75,1.03,CL,1684761212
356,genlis,47.242,5.2242,21.56,82,60,4.12,FR,1684761454
357,fada,9.5667,8.3,32.7,45,62,1.62,NG,1684761454
358,guerrero negro,27.9769,-114.0611,14.48,94,23,3.83,MX,1684761169
359,nagqu,31.5,92.0,3.7,20,9,2.33,CN,1684761455
360,aosta,45.7667,7.4167,16.02,54,75,5.14,IT,1684761040
361,t'aebaek,37.1759,128.9889,7.96,98,32,1.03,KR,1684761455
362,vrnjacka banja,43.6167,20.9,23.57,46,27,3.4,RS,1684761455
363,happy valley-goose bay,53.3168,-60.3315,3.17,56,75,6.69,CA,1684761242
364,lusambo,-4.9667,23.45,35.7,30,100,0.77,CD,1684761455
